Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ
32.676,0.62,-0.88,1.00,-78,-78,-16
32.678,0.62,-0.75,1.00,-94,-78,-16
32.680,0.62,-0.50,0.88,-94,-94,-16
32.682,0.62,-0.38,0.88,-94,-94,-16
32.684,0.62,-0.38,0.88,-94,-94,-16
32.686,0.62,-0.25,0.75,-94,-94,-16
32.688,0.62,-0.25,0.62,-94,-94,-16
32.690,0.62,-0.25,0.62,-94,-94,-16
32.692,0.75,-0.25,0.50,-94,-78,-16
32.694,0.75,-0.25,0.50,-94,-78,0
32.696,0.75,-0.38,0.38,-94,-78,0
32.698,0.75,-0.38,0.38,-78,-78,0
32.700,0.75,-0.50,0.25,-78,-78,0
32.702,0.88,-0.50,0.25,-78,-78,0
32.704,0.75,-0.50,0.12,-78,-78,0
32.706,0.75,-0.50,0.12,-78,-78,16
32.708,0.62,-0.50,0.12,-78,-78,16
32.710,0.50,-0.38,0.12,-78,-94,16
32.712,0.50,-0.38,0.12,-78,-94,16
32.714,0.38,-0.38,0.12,-63,-78,16
32.716,0.25,-0.38,0.00,-63,-78,16
32.718,0.25,-0.25,0.00,-63,-78,16
32.720,0.12,-0.25,0.00,-63,-63,16
32.722,0.12,-0.25,0.00,-63,-63,16
32.724,0.12,-0.25,-0.12,-47,-63,16
32.726,0.12,-0.38,-0.12,-47,-47,16
32.728,0.12,-0.50,-0.12,-47,-47,16
32.730,0.25,-0.50,-0.12,-31,-31,16
32.732,0.25,-0.50,-0.25,-31,-31,16
32.734,0.25,-0.62,-0.25,-31,-16,16
32.736,0.25,-0.62,-0.25,-31,-16,16
32.738,0.38,-0.62,-0.25,-31,-16,16
32.740,0.50,-0.75,-0.12,-16,0,16
32.742,0.50,-0.75,-0.12,-16,0,16
32.744,0.50,-0.75,-0.12,-16,0,0
32.746,0.50,-0.75,-0.12,-16,16,0
32.748,0.50,-0.62,-0.12,-16,16,0
32.750,0.50,-0.62,-0.12,-16,16,0
32.752,0.50,-0.50,0.00,-16,16,0
33.960,0.62,-0.75,0.00,0,0,0
33.962,0.62,-0.75,0.00,0,0,0
33.964,0.75,-0.75,0.00,0,0,0
33.966,1.12,-0.88,-0.12,0,16,16
33.968,1.75,-0.88,-0.12,16,16,16
33.970,2.75,-1.12,-0.25,16,31,16
33.972,3.62,-1.62,-0.75,16,31,16
33.974,4.12,-2.50,-1.75,16,47,31
33.976,4.88,-3.00,-2.62,31,47,31
33.978,5.38,-2.88,-3.12,0,-31,47
33.980,4.12,-1.12,-2.75,-63,-94,47
33.982,2.00,0.25,-2.50,-125,-188,47
33.984,0.12,1.25,-1.50,-141,-313,47
33.986,-0.50,0.75,-0.50,-94,-375,31
33.988,-0.75,1.00,1.75,0,-359,16
33.990,-2.62,1.88,3.12,109,-250,-16
33.992,-3.88,2.00,3.50,78,-172,0
33.994,-5.62,0.75,0.75,-47,-188,0
33.996,-5.88,-0.12,0.38,-31,-141,-16
33.998,-4.75,-2.25,0.00,31,-94,-78
34.000,-3.12,-3.50,0.50,47,-31,-156
